,Unnamed: 0,alive,dead,MCMC_iter,BH_NS,sim_num,system_num,inclination,dincl,ratio
244,653-19.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,19.0,0.0
245,653-36.0-57.97,9.578977599999996,40.34019251600001,3,0.1,6,653,57.97,36.0,0.19188976054170734
246,653-34.0-57.97,8.092420549999984,41.860986935999996,3,0.1,6,653,57.97,34.0,0.16199937015844168
247,653-37.0-57.97,10.15112764,39.765371466,3,0.1,6,653,57.97,37.0,0.2033621712621234
248,653-27.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,27.0,0.0
249,653-33.0-57.97,7.200783709999999,42.728262166,3,0.1,6,653,57.97,33.0,0.14422033475030388
250,653-40.0-57.97,11.676963869999993,38.260954076,3,0.1,6,653,57.97,40.0,0.2338296098493091
251,653-32.0-57.97,6.1238303400000165,43.804843125999994,3,0.1,6,653,57.97,32.0,0.12265157303188055
252,653-17.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,17.0,0.0
253,653-35.0-57.97,8.912047890000009,41.02098247599999,3,0.1,6,653,57.97,35.0,0.17848001262243296
254,653-28.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,28.0,0.0
255,653-7.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,7.0,0.0
256,653-26.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,26.0,0.0
257,653-29.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,29.0,0.0
258,653-2.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,2.0,0.0
259,653-15.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,15.0,0.0
260,653-39.0-57.97,11.21003833,38.718416235999996,3,0.1,6,653,57.97,39.0,0.22452203713178315
261,653-18.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,18.0,0.0
262,653-22.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,22.0,0.0
263,653-31.0-57.97,4.704509449999995,45.255180386000006,3,0.1,6,653,57.97,31.0,0.09416610602354092
264,653-38.0-57.97,10.693130279999997,39.226533136,3,0.1,6,653,57.97,38.0,0.2142067784169532
265,653-41.0-57.97,12.123517889999995,37.829231836,3,0.1,6,653,57.97,41.0,0.24269971035628105
266,653-42.0-57.97,12.473379229999995,37.441872736,3,0.1,6,653,57.97,42.0,0.2498911402570159
267,653-43.0-57.97,12.885324390000017,37.05033803599999,3,0.1,6,653,57.97,43.0,0.2580385192465378
268,653-45.0-57.97,13.55627514,36.36836787600001,3,0.1,6,653,57.97,45.0,0.2715347435865579
269,653-44.0-57.97,13.268999690000005,36.687509156,3,0.1,6,653,57.97,44.0,0.26561102840280737
270,685-26.0-3.62,49.9689445,0.0,3,0.1,7,685,3.62,26.0,1.0
271,685-27.0-3.62,49.9689445,0.0,3,0.1,7,685,3.62,27.0,1.0
272,685-4.0-3.62,49.9689445,0.0,3,0.1,7,685,3.62,4.0,1.0
273,685-5.0-3.62,49.9689445,0.0,3,0.1,7,685,3.62,5.0,1.0
274,685-8.0-3.62,49.9689445,0.0,3,0.1,7,685,3.62,8.0,1.0
275,685-1.0-3.62,49.9689445,0.0,3,0.1,7,685,3.62,1.0,1.0
